;Well;Fluor;Target;Content;Sample;Cq;SQ
;G01;FAM;Hprt1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,05;
;G02;FAM;Pum1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;31,71;
;G03;FAM;Tbp;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;32,15;
;G04;FAM;Il6;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;33,29;
;G05;FAM;Il8;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;38,22;
;G06;FAM;Runx2;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;31,12;
;G07;FAM;Sparc;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;24,08;
;G08;FAM;Spp1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;22,66;
;G09;FAM;Sp7;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;37,32;
;G10;FAM;Bmp2;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;35,41;
;G11;FAM;Sparc;NTC;NT;;
;H01;FAM;Hprt1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,17;
;H02;FAM;Pum1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;31,75;
;H03;FAM;Tbp;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;32,35;
;H04;FAM;Il6;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;34,12;
;H05;FAM;Il8;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;38,86;
;H06;FAM;Runx2;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;31,10;
;H07;FAM;Sparc;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;24,06;
;H08;FAM;Spp1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;22,64;
;H09;FAM;Sp7;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;38,13;
;H10;FAM;Bmp2;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;37,12;
;H11;FAM;Spp1;NTC;NT;;
