;Well;Fluor;Target;Content;Sample;Cq;SQ
;F10;FAM;Il1-�;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;F11;FAM;Tlr3;Unkn;NT;;
;G01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;29,04;
;G02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;29,52;
;G03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;31,25;
;G04;FAM;Col3a1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;26,11;
;G05;FAM;Col1a1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;25,84;
;G06;FAM;Tlr3;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;;
;G07;FAM;Ddx58/Rig-I;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;29,19;
;G08;FAM;Ifih-1/Mda5;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;29,94;
;G09;FAM;Bmp4;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;27,08;
;G10;FAM;Il1-�;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;;
;G11;FAM;Ddx58/Rig-I;Unkn;NT;;
;H01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;28,91;
;H02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;29,41;
;H03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;31,34;
;H04;FAM;Col3a1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;26,23;
;H05;FAM;Col1a1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;25,82;
;H06;FAM;Tlr3;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;;
;H07;FAM;Ddx58/Rig-I;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;29,22;
;H08;FAM;Ifih-1/Mda5;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;29,80;
;H09;FAM;Bmp4;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;27,11;
;H10;FAM;Il1-�;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;;
;H11;FAM;Ifih-1/Mda5;Unkn;NT;;
