;Well;Fluor;Target;Content;Sample;Cq;SQ
;F11;FAM;Tlr3;NTC;NT;;
;G01;FAM;Hprt1;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;29,59;
;G02;FAM;Pum1;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;33,00;
;G03;FAM;Tbp;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;32,64;
;G04;FAM;Col3a1;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;31,04;
;G05;FAM;Col1a1;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;33,16;
;G06;FAM;Tlr3;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;31,88;
;G07;FAM;Ddx58/Rig-I;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;30,92;
;G08;FAM;Ifih-1/Mda5;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;31,17;
;G09;FAM;Bmp4;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;32,08;
;G10;FAM;Il1-�;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;38,47;
;G11;FAM;Ddx58/Rig-I;NTC;NT;;
;H01;FAM;Hprt1;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;29,59;
;H02;FAM;Pum1;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;33,45;
;H03;FAM;Tbp;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;32,67;
;H04;FAM;Col3a1;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;30,91;
;H05;FAM;Col1a1;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;36,09;
;H06;FAM;Tlr3;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;31,90;
;H07;FAM;Ddx58/Rig-I;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;31,13;
;H08;FAM;Ifih-1/Mda5;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;31,10;
;H09;FAM;Bmp4;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;32,17;
;H10;FAM;Il1-�;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;37,55;
;H11;FAM;Ifih-1/Mda5;NTC;NT;;
;;;;;;;
