;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;FAM;Hprt1;Unkn;WT young5nM CUCPT4a;28,76043678;
;A02;FAM;Pum1;Unkn;WT young5nM CUCPT4a;29,53975482;
;A03;FAM;Tbp;Unkn;WT young5nM CUCPT4a;30,7965839;
;A04;FAM;Il6;Unkn;WT young5nM CUCPT4a;35,61581009;
;A05;FAM;Il8;Unkn;WT young5nM CUCPT4a;37,07970738;
;A06;FAM;Runx2;Unkn;WT young5nM CUCPT4a;29,78272655;
;A07;FAM;Sparc;Unkn;WT young5nM CUCPT4a;21,77731925;
;A08;FAM;Spp1;Unkn;WT young5nM CUCPT4a;21,01230396;
;A09;FAM;Sp7;Unkn;WT young5nM CUCPT4a;34,34188885;
;A10;FAM;Bmp2;Unkn;WT young5nM CUCPT4a;33,11113397;
;A11;FAM;Tlr 3 Ex 5-6;Unkn;WT young5nM CUCPT4a;30,64350675;
;B01;FAM;Hprt1;Unkn;WT young5nM CUCPT4a;28,65978544;
;B02;FAM;Pum1;Unkn;WT young5nM CUCPT4a;29,49929433;
;B03;FAM;Tbp;Unkn;WT young5nM CUCPT4a;30,61742571;
;B04;FAM;Il6;Unkn;WT young5nM CUCPT4a;37,07579779;
;B05;FAM;Il8;Unkn;WT young5nM CUCPT4a;37,31870384;
;B06;FAM;Runx2;Unkn;WT young5nM CUCPT4a;29,80469765;
;B07;FAM;Sparc;Unkn;WT young5nM CUCPT4a;21,82844745;
;B08;FAM;Spp1;Unkn;WT young5nM CUCPT4a;20,89447281;
;B09;FAM;Sp7;Unkn;WT young5nM CUCPT4a;34,74111049;
;B10;FAM;Bmp2;Unkn;WT young5nM CUCPT4a;32,89851385;
;B11;FAM;Tlr 3 Ex 5-6;Unkn;WT young5nM CUCPT4a;30,47216479;
;C01;FAM;Hprt1;Unkn;WT young 50nM CUCPT4a;28,67156358;
;C02;FAM;Pum1;Unkn;WT young 50nM CUCPT4a;30,09774624;
;C03;FAM;Tbp;Unkn;WT young 50nM CUCPT4a;30,94679099;
;C04;FAM;Il6;Unkn;WT young 50nM CUCPT4a;36,43291205;
;C05;FAM;Il8;Unkn;WT young 50nM CUCPT4a;37,30458105;
;C06;FAM;Runx2;Unkn;WT young 50nM CUCPT4a;30,18000585;
;C07;FAM;Sparc;Unkn;WT young 50nM CUCPT4a;22,13889238;
;C08;FAM;Spp1;Unkn;WT young 50nM CUCPT4a;20,52963651;
;C09;FAM;Sp7;Unkn;WT young 50nM CUCPT4a;34,71623324;
;C10;FAM;Bmp2;Unkn;WT young 50nM CUCPT4a;32,74749323;
;C11;FAM;Tlr 3 Ex 5-6;Unkn;WT young 50nM CUCPT4a;30,66274229;
;D01;FAM;Hprt1;Unkn;WT young 50nM CUCPT4a;28,66890123;
;D02;FAM;Pum1;Unkn;WT young 50nM CUCPT4a;29,97053425;
;D03;FAM;Tbp;Unkn;WT young 50nM CUCPT4a;30,70893869;
;D04;FAM;Il6;Unkn;WT young 50nM CUCPT4a;35,47384413;
;D05;FAM;Il8;Unkn;WT young 50nM CUCPT4a;37,13245368;
;D06;FAM;Runx2;Unkn;WT young 50nM CUCPT4a;30,09147446;
;D07;FAM;Sparc;Unkn;WT young 50nM CUCPT4a;22,22203461;
;D08;FAM;Spp1;Unkn;WT young 50nM CUCPT4a;20,36453712;
;D09;FAM;Sp7;Unkn;WT young 50nM CUCPT4a;34,77348858;
;D10;FAM;Bmp2;Unkn;WT young 50nM CUCPT4a;33,06069713;
;D11;FAM;Tlr 3 Ex 5-6;Unkn;WT young 50nM CUCPT4a;30,35854688;
;D12;FAM;Sp7;NTC;NT;;
;E01;FAM;Hprt1;Unkn;WT young 50nM CUCPT4a;29,23197047;
;E02;FAM;Pum1;Unkn;WT young 50nM CUCPT4a;31,24526453;
;E03;FAM;Tbp;Unkn;Leiden Tlr 3 -/- control;31,39619393;
;E04;FAM;Il6;Unkn;Leiden Tlr 3 -/- control;35,64160288;
;E05;FAM;Il8;Unkn;Leiden Tlr 3 -/- control;36,52035418;
;E06;FAM;Runx2;Unkn;Leiden Tlr 3 -/- control;31,34104185;
;E07;FAM;Sparc;Unkn;Leiden Tlr 3 -/- control;23,49855167;
;E08;FAM;Spp1;Unkn;Leiden Tlr 3 -/- control;19,63788441;
;E09;FAM;Sp7;Unkn;Leiden Tlr 3 -/- control;36,40416323;
;E10;FAM;Bmp2;Unkn;Leiden Tlr 3 -/- control;34,39267098;
;E11;FAM;Tlr 3 Ex 5-6;Unkn;Leiden Tlr 3 -/- control;34,11194457;
;E12;FAM;Bmp2;NTC;NT;;
;F01;FAM;Hprt1;Unkn;Leiden Tlr 3 -/- control;29,29210301;
;F02;FAM;Pum1;Unkn;Leiden Tlr 3 -/- control;31,28544707;
;F03;FAM;Tbp;Unkn;Leiden Tlr 3 -/- control;31,38652472;
;F04;FAM;Il6;Unkn;Leiden Tlr 3 -/- control;34,88731351;
;F05;FAM;Il8;Unkn;Leiden Tlr 3 -/- control;38,09371813;
;F06;FAM;Runx2;Unkn;Leiden Tlr 3 -/- control;31,50280364;
;F07;FAM;Sparc;Unkn;Leiden Tlr 3 -/- control;23,50352197;
;F08;FAM;Spp1;Unkn;Leiden Tlr 3 -/- control;19,61126624;
;F09;FAM;Sp7;Unkn;Leiden Tlr 3 -/- control;37,0692632;
;F10;FAM;Bmp2;Unkn;Leiden Tlr 3 -/- control;33,91282776;
;F11;FAM;Tlr 3 Ex 5-6;Unkn;Leiden Tlr 3 -/- control;34,19956756;
;F12;FAM;Tlr 3 Ex 5-6;NTC;NT;;
