;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;FAM;Hprt1;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;30,02633666;
;A02;FAM;Tbp;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;33,89801955;
;A03;FAM;Pum1;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;35,26853948;
;A04;FAM;Il6;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;33,14248221;
;A05;FAM;Il8;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;37,68835473;
;A06;FAM;Runx2;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;33,8964399;
;A07;FAM;Sparc;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;28,23498202;
;A08;FAM;Spp1;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;21,48953706;
;A09;FAM;Sp7;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;;
;A10;FAM;Bmp2;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;36,1791376;
;A11;FAM;Tlr 3 Ex 5-6;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;37,5596875;
;A12;FAM;Hprt1;NTC;NT;;
;B01;FAM;Hprt1;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;30,04492403;
;B02;FAM;Tbp;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;34,15504382;
;B03;FAM;Pum1;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;35,57197913;
;B04;FAM;Il6;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;33,07427435;
;B05;FAM;Il8;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;37,91452708;
;B06;FAM;Runx2;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;33,95404244;
;B07;FAM;Sparc;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;28,34569688;
;B08;FAM;Spp1;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;21,40644118;
;B09;FAM;Sp7;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;38,93114077;
;B10;FAM;Bmp2;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;36,73126084;
;B11;FAM;Tlr 3 Ex 5-6;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;36,01333661;
;B12;FAM;Tbp;NTC;NT;;
;C01;FAM;Hprt1;Unkn;Leiden Tlr 3 -/- control;29,14143047;
;C02;FAM;Tbp;Unkn;Leiden Tlr 3 -/- control;31,47366776;
;C03;FAM;Pum1;Unkn;Leiden Tlr 3 -/- control;31,22161879;
;C04;FAM;Il6;Unkn;Leiden Tlr 3 -/- control;35,69465808;
;C05;FAM;Il8;Unkn;Leiden Tlr 3 -/- control;37,89211817;
;C06;FAM;Runx2;Unkn;Leiden Tlr 3 -/- control;31,41588105;
;C07;FAM;Sparc;Unkn;Leiden Tlr 3 -/- control;23,31161662;
;C08;FAM;Spp1;Unkn;Leiden Tlr 3 -/- control;19,69341142;
;C09;FAM;Sp7;Unkn;Leiden Tlr 3 -/- control;36,76905405;
;C10;FAM;Bmp2;Unkn;Leiden Tlr 3 -/- control;34,70980848;
;C11;FAM;Tlr 3 Ex 5-6;Unkn;Leiden Tlr 3 -/- control;34,92343708;
