;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;FAM;Hprt1;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;29,25;
;A02;FAM;Pum1;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;33,10;
;A03;FAM;Tbp;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;33,22;
;A04;FAM;Il6;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;29,31;
;A05;FAM;Il8;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;37,96;
;A06;FAM;Runx2;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;33,06;
;A07;FAM;Sparc;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;26,18;
;A08;FAM;Spp1;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;21,26;
;A09;FAM;Sp7;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;36,11;
;A10;FAM;Bmp2;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;36,03;
;A11;FAM;Tlr 3 Ex 5-6;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;36,74;
;A12;FAM;Hprt1;NTC;NT;;
;B01;FAM;Hprt1;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;29,22;
;B02;FAM;Pum1;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;33,31;
;B03;FAM;Tbp;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;33,17;
;B04;FAM;Il6;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;29,41;
;B05;FAM;Il8;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;38,56;
;B06;FAM;Runx2;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;32,81;
;B07;FAM;Sparc;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;26,35;
;B08;FAM;Spp1;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;21,02;
;B09;FAM;Sp7;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;36,97;
;B10;FAM;Bmp2;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;36,02;
;B11;FAM;Tlr 3 Ex 5-6;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;38,25;
;B12;FAM;Pum1;NTC;NT;;
;C01;FAM;Hprt1;Unkn;Leiden Tlr 3 -/- control;28,96;
;C02;FAM;Pum1;Unkn;Leiden Tlr 3 -/- control;30,74;
;C03;FAM;Tbp;Unkn;Leiden Tlr 3 -/- control;31,59;
;C04;FAM;Il6;Unkn;Leiden Tlr 3 -/- control;38,09;
;C05;FAM;Il8;Unkn;Leiden Tlr 3 -/- control;35,15;
;C06;FAM;Runx2;Unkn;Leiden Tlr 3 -/- control;30,48;
;C07;FAM;Sparc;Unkn;Leiden Tlr 3 -/- control;23,02;
;C08;FAM;Spp1;Unkn;Leiden Tlr 3 -/- control;22,27;
;C09;FAM;Sp7;Unkn;Leiden Tlr 3 -/- control;34,07;
;C10;FAM;Bmp2;Unkn;Leiden Tlr 3 -/- control;34,24;
;C11;FAM;Tlr 3 Ex 5-6;Unkn;Leiden Tlr 3 -/- control;34,05;
;C12;FAM;Tbp;NTC;NT;;
;D01;FAM;Hprt1;Unkn;Leiden Tlr 3 -/- control;28,99;
;D02;FAM;Pum1;Unkn;Leiden Tlr 3 -/- control;30,66;
;D03;FAM;Tbp;Unkn;Leiden Tlr 3 -/- control;31,50;
;D04;FAM;Il6;Unkn;Leiden Tlr 3 -/- control;36,33;
;D05;FAM;Il8;Unkn;Leiden Tlr 3 -/- control;35,23;
;D06;FAM;Runx2;Unkn;Leiden Tlr 3 -/- control;30,41;
;D07;FAM;Sparc;Unkn;Leiden Tlr 3 -/- control;23,08;
;D08;FAM;Spp1;Unkn;Leiden Tlr 3 -/- control;22,22;
;D09;FAM;Sp7;Unkn;Leiden Tlr 3 -/- control;34,20;
;D10;FAM;Bmp2;Unkn;Leiden Tlr 3 -/- control;34,14;
;D11;FAM;Tlr 3 Ex 5-6;Unkn;Leiden Tlr 3 -/- control;33,87;
;D12;FAM;Il6;NTC;NT;;
;E01;FAM;Hprt1;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;29,09;
;E02;FAM;Pum1;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;31,08;
;E03;FAM;Tbp;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;31,67;
;E04;FAM;Il6;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;36,12;
;E05;FAM;Il8;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;35,35;
;E06;FAM;Runx2;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;30,74;
;E07;FAM;Sparc;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;23,07;
;E08;FAM;Spp1;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;22,53;
;E09;FAM;Sp7;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;34,31;
;E10;FAM;Bmp2;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;34,08;
;E11;FAM;Tlr 3 Ex 5-6;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;34,27;
;E12;FAM;Il8;NTC;NT;;
;F01;FAM;Hprt1;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;29,12;
;F02;FAM;Pum1;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;31,21;
;F03;FAM;Tbp;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;31,66;
;F04;FAM;Il6;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;37,40;
;F05;FAM;Il8;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;35,24;
;F06;FAM;Runx2;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;30,93;
;F07;FAM;Sparc;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;23,22;
;F08;FAM;Spp1;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;22,50;
;F09;FAM;Sp7;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;34,44;
;F10;FAM;Bmp2;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;34,21;
;F11;FAM;Tlr 3 Ex 5-6;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;33,85;
;F12;FAM;Runx2;NTC;NT;;
;G01;FAM;Hprt1;Unkn;Leiden Tlr 3 -/- 50nM CUCPT4a;29,25;
;G02;FAM;Pum1;Unkn;Leiden Tlr 3 -/- 50nM CUCPT4a;31,65;
;G03;FAM;Tbp;Unkn;Leiden Tlr 3 -/- 50nM CUCPT4a;31,86;
