;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;FAM;Hprt1;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;28,29099849;
;A02;FAM;Pum1;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;30,99715373;
;A03;FAM;Tbp;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;31,00269411;
;A04;FAM;Il6;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;25,82276652;
;A05;FAM;Il8;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;34,10099875;
;A06;FAM;Runx2;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;30,80679566;
;A07;FAM;Sparc;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;23,47752133;
;A08;FAM;Spp1;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;21,2887283;
;A09;FAM;Sp7;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;35,64021947;
;A10;FAM;Bmp2;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;34,51898809;
;A11;FAM;Tlr 3 Ex 5-6;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;34,27692364;
;A12;FAM;Hprt1;NTC;NT;;
;B01;FAM;Hprt1;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;28,31072875;
;B02;FAM;Pum1;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;31,06184131;
;B03;FAM;Tbp;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;31,08465339;
;B04;FAM;Il6;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;25,74333759;
;B05;FAM;Il8;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;35,05025072;
;B06;FAM;Runx2;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;31,12522813;
;B07;FAM;Sparc;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;23,50105343;
;B08;FAM;Spp1;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;21,22417832;
;B09;FAM;Sp7;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;35,32709193;
;B10;FAM;Bmp2;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;34,59476787;
;B11;FAM;Tlr 3 Ex 5-6;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;33,49801396;
;B12;FAM;Pum1;NTC;NT;;
;C01;FAM;Hprt1;Unkn;Leiden Tlr 3 -/- control;28,19101343;
;C02;FAM;Pum1;Unkn;Leiden Tlr 3 -/- control;30,16232802;
;C03;FAM;Tbp;Unkn;Leiden Tlr 3 -/- control;30,55263153;
;C04;FAM;Il6;Unkn;Leiden Tlr 3 -/- control;35,04738933;
;C05;FAM;Il8;Unkn;Leiden Tlr 3 -/- control;34,54324994;
;C06;FAM;Runx2;Unkn;Leiden Tlr 3 -/- control;30,1367309;
;C07;FAM;Sparc;Unkn;Leiden Tlr 3 -/- control;22,644451;
;C08;FAM;Spp1;Unkn;Leiden Tlr 3 -/- control;20,87519335;
;C09;FAM;Sp7;Unkn;Leiden Tlr 3 -/- control;35,3359743;
;C10;FAM;Bmp2;Unkn;Leiden Tlr 3 -/- control;34,99717965;
;C11;FAM;Tlr 3 Ex 5-6;Unkn;Leiden Tlr 3 -/- control;32,91973618;
;C12;FAM;Tbp;NTC;NT;;
;D01;FAM;Hprt1;Unkn;Leiden Tlr 3 -/- control;28,26022825;
;D02;FAM;Pum1;Unkn;Leiden Tlr 3 -/- control;29,9673482;
;D03;FAM;Tbp;Unkn;Leiden Tlr 3 -/- control;30,33836074;
;D04;FAM;Il6;Unkn;Leiden Tlr 3 -/- control;34,02254807;
;D05;FAM;Il8;Unkn;Leiden Tlr 3 -/- control;35,00866402;
;D06;FAM;Runx2;Unkn;Leiden Tlr 3 -/- control;30,02931654;
;D07;FAM;Sparc;Unkn;Leiden Tlr 3 -/- control;22,46308502;
;D08;FAM;Spp1;Unkn;Leiden Tlr 3 -/- control;20,71567023;
;D09;FAM;Sp7;Unkn;Leiden Tlr 3 -/- control;35,07861241;
;D10;FAM;Bmp2;Unkn;Leiden Tlr 3 -/- control;35,99131178;
;D11;FAM;Tlr 3 Ex 5-6;Unkn;Leiden Tlr 3 -/- control;32,71747895;
;D12;FAM;Il6;NTC;NT;;
;E01;FAM;Hprt1;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;28,23531343;
;E02;FAM;Pum1;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;29,96083278;
;E03;FAM;Tbp;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;30,32276828;
;E04;FAM;Il6;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;34,08068822;
;E05;FAM;Il8;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;34,31497952;
;E06;FAM;Runx2;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;29,84982966;
;E07;FAM;Sparc;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;22,31196913;
;E08;FAM;Spp1;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;20,9340302;
;E09;FAM;Sp7;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;35,46995235;
;E10;FAM;Bmp2;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;35,51648543;
