;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;FAM;Hprt1;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;30,38332099;
;A02;FAM;Pum1;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;33,93711962;
;A03;FAM;Tbp;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;34,06713782;
;A04;FAM;Col3a1;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;30,89158929;
;A05;FAM;Col1a1;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;31,32694195;
;A06;FAM;Tlr3 Ex 3-4;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;;
;A07;FAM;Ddx58/Rig-I;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;33,02345283;
;A08;FAM;Ifih-1/Mda5;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;33,34211603;
;A09;FAM;Bmp4;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;31,89976386;
;A10;FAM;Il1-�;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;;
;A11;FAM;Tlr 3 Ex 4-5;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;;
;A12;FAM;Hprt1;NTC;NT;;
;B01;FAM;Hprt1;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;30,37864181;
;B02;FAM;Pum1;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;33,90477886;
;B03;FAM;Tbp;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;33,89832186;
;B04;FAM;Col3a1;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;30,66818101;
;B05;FAM;Col1a1;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;31,38477026;
;B06;FAM;Tlr3 Ex 3-4;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;;
;B07;FAM;Ddx58/Rig-I;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;32,96548057;
;B08;FAM;Ifih-1/Mda5;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;32,80768789;
;B09;FAM;Bmp4;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;31,95916638;
;B10;FAM;Il1-�;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;;
;B11;FAM;Tlr 3 Ex 4-5;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;;
;B12;FAM;Pum1;NTC;NT;;
;C01;FAM;Hprt1;Unkn;Leiden Tlr 3 -/- control;29,95447529;
;C02;FAM;Pum1;Unkn;Leiden Tlr 3 -/- control;31,49666073;
;C03;FAM;Tbp;Unkn;Leiden Tlr 3 -/- control;32,29388662;
;C04;FAM;Col3a1;Unkn;Leiden Tlr 3 -/- control;29,61433868;
;C05;FAM;Col1a1;Unkn;Leiden Tlr 3 -/- control;27,89250108;
;C06;FAM;Tlr3 Ex 3-4;Unkn;Leiden Tlr 3 -/- control;;
;C07;FAM;Ddx58/Rig-I;Unkn;Leiden Tlr 3 -/- control;31,71209661;
;C08;FAM;Ifih-1/Mda5;Unkn;Leiden Tlr 3 -/- control;32,05193273;
;C09;FAM;Bmp4;Unkn;Leiden Tlr 3 -/- control;30,29248589;
;C10;FAM;Il1-�;Unkn;Leiden Tlr 3 -/- control;;
;C11;FAM;Tlr 3 Ex 4-5;Unkn;Leiden Tlr 3 -/- control;;
;C12;FAM;Tbp;NTC;NT;;
;D01;FAM;Hprt1;Unkn;Leiden Tlr 3 -/- control;29,93650149;
;D02;FAM;Pum1;Unkn;Leiden Tlr 3 -/- control;31,52904236;
;D03;FAM;Tbp;Unkn;Leiden Tlr 3 -/- control;32,24974719;
;D04;FAM;Col3a1;Unkn;Leiden Tlr 3 -/- control;29,68497098;
;D05;FAM;Col1a1;Unkn;Leiden Tlr 3 -/- control;27,96653596;
;D06;FAM;Tlr3 Ex 3-4;Unkn;Leiden Tlr 3 -/- control;;
