;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;FAM;Hprt1;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;28,81;
;A02;FAM;Pum1;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;31,47;
;A03;FAM;Tbp;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;31,66;
;A04;FAM;Col3a1;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;27,51;
;A05;FAM;Col1a1;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;28,82;
;A06;FAM;Tlr3 Ex 3-4;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;;
;A07;FAM;Ddx58/Rig-I;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;31,55;
;A08;FAM;Ifih-1/Mda5;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;31,79;
;A09;FAM;Bmp4;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;28,85;
;A10;FAM;Il1-�;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;;
;A11;FAM;Tlr 3 Ex 4-5;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;;
;A12;FAM;Hprt1;NTC;NT;;
;B01;FAM;Hprt1;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;29,02;
;B02;FAM;Pum1;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;31,63;
;B03;FAM;Tbp;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;31,79;
;B04;FAM;Col3a1;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;27,51;
;B05;FAM;Col1a1;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;28,81;
;B06;FAM;Tlr3 Ex 3-4;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;;
;B07;FAM;Ddx58/Rig-I;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;31,67;
;B08;FAM;Ifih-1/Mda5;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;31,60;
;B09;FAM;Bmp4;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;28,80;
;B10;FAM;Il1-�;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;;
;B11;FAM;Tlr 3 Ex 4-5;Unkn;Leiden Tlr 3 -/- 5 µg/ml polyIC;;
;B12;FAM;Pum1;NTC;NT;;
;C01;FAM;Hprt1;Unkn;Leiden Tlr 3 -/- control;28,83;
;C02;FAM;Pum1;Unkn;Leiden Tlr 3 -/- control;30,42;
;C03;FAM;Tbp;Unkn;Leiden Tlr 3 -/- control;31,13;
;C04;FAM;Col3a1;Unkn;Leiden Tlr 3 -/- control;27,65;
;C05;FAM;Col1a1;Unkn;Leiden Tlr 3 -/- control;27,46;
;C06;FAM;Tlr3 Ex 3-4;Unkn;Leiden Tlr 3 -/- control;;
;C07;FAM;Ddx58/Rig-I;Unkn;Leiden Tlr 3 -/- control;29,40;
;C08;FAM;Ifih-1/Mda5;Unkn;Leiden Tlr 3 -/- control;29,95;
;C09;FAM;Bmp4;Unkn;Leiden Tlr 3 -/- control;29,06;
;C10;FAM;Il1-�;Unkn;Leiden Tlr 3 -/- control;;
;C11;FAM;Tlr 3 Ex 4-5;Unkn;Leiden Tlr 3 -/- control;;
;C12;FAM;Tbp;NTC;NT;;
;D01;FAM;Hprt1;Unkn;Leiden Tlr 3 -/- control;28,87;
;D02;FAM;Pum1;Unkn;Leiden Tlr 3 -/- control;30,50;
;D03;FAM;Tbp;Unkn;Leiden Tlr 3 -/- control;31,01;
;D04;FAM;Col3a1;Unkn;Leiden Tlr 3 -/- control;27,56;
;D05;FAM;Col1a1;Unkn;Leiden Tlr 3 -/- control;27,44;
;D06;FAM;Tlr3 Ex 3-4;Unkn;Leiden Tlr 3 -/- control;;
;D07;FAM;Ddx58/Rig-I;Unkn;Leiden Tlr 3 -/- control;29,29;
;D08;FAM;Ifih-1/Mda5;Unkn;Leiden Tlr 3 -/- control;29,74;
;D09;FAM;Bmp4;Unkn;Leiden Tlr 3 -/- control;29,04;
;D10;FAM;Il1-�;Unkn;Leiden Tlr 3 -/- control;;
;D11;FAM;Tlr 3 Ex 4-5;Unkn;Leiden Tlr 3 -/- control;;
;D12;FAM;Col3a1;NTC;NT;;
;E01;FAM;Hprt1;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;28,79;
;E02;FAM;Pum1;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;30,30;
;E03;FAM;Tbp;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;30,92;
;E04;FAM;Col3a1;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;27,52;
;E05;FAM;Col1a1;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;27,18;
;E06;FAM;Tlr3 Ex 3-4;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;;
;E07;FAM;Ddx58/Rig-I;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;29,51;
;E08;FAM;Ifih-1/Mda5;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;30,27;
;E09;FAM;Bmp4;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;28,98;
;E10;FAM;Il1-�;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;;
;E11;FAM;Tlr 3 Ex 4-5;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;;
;E12;FAM;Col1a1;NTC;NT;;
;F01;FAM;Hprt1;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;28,82;
;F02;FAM;Pum1;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;30,48;
;F03;FAM;Tbp;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;30,82;
;F04;FAM;Col3a1;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;27,52;
;F05;FAM;Col1a1;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;27,20;
;F06;FAM;Tlr3 Ex 3-4;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;;
;F07;FAM;Ddx58/Rig-I;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;29,66;
;F08;FAM;Ifih-1/Mda5;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;30,24;
;F09;FAM;Bmp4;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;29,03;
;F10;FAM;Il1-�;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;;
;F11;FAM;Tlr 3 Ex 4-5;Unkn;Leiden Tlr 3 -/- 5nM CUCPT4a;;
;F12;FAM;Tlr3 Ex 3-4;NTC;NT;;
;G01;FAM;Hprt1;Unkn;Leiden Tlr 3 -/- 50nM CUCPT4a;28,90;
;G02;FAM;Pum1;Unkn;Leiden Tlr 3 -/- 50nM CUCPT4a;30,47;
;G03;FAM;Tbp;Unkn;Leiden Tlr 3 -/- 50nM CUCPT4a;30,94;
;G04;FAM;Col3a1;Unkn;Leiden Tlr 3 -/- 50nM CUCPT4a;27,90;
;G05;FAM;Col1a1;Unkn;Leiden Tlr 3 -/- 50nM CUCPT4a;27,50;
;G06;FAM;Tlr3 Ex 3-4;Unkn;Leiden Tlr 3 -/- 50nM CUCPT4a;;
;G07;FAM;Ddx58/Rig-I;Unkn;Leiden Tlr 3 -/- 50nM CUCPT4a;29,02;
;G08;FAM;Ifih-1/Mda5;Unkn;Leiden Tlr 3 -/- 50nM CUCPT4a;29,43;
;G09;FAM;Bmp4;Unkn;Leiden Tlr 3 -/- 50nM CUCPT4a;29,08;
;G10;FAM;Il1-�;Unkn;Leiden Tlr 3 -/- 50nM CUCPT4a;;
;G11;FAM;Tlr 3 Ex 4-5;Unkn;Leiden Tlr 3 -/- 50nM CUCPT4a;;
;G12;FAM;Ddx58/Rig-I;NTC;NT;;
;H01;FAM;Hprt1;Unkn;Leiden Tlr 3 -/- 50nM CUCPT4a;28,94;
;H02;FAM;Pum1;Unkn;Leiden Tlr 3 -/- 50nM CUCPT4a;30,63;
;H03;FAM;Tbp;Unkn;Leiden Tlr 3 -/- 50nM CUCPT4a;30,92;
;H04;FAM;Col3a1;Unkn;Leiden Tlr 3 -/- 50nM CUCPT4a;27,94;
;H05;FAM;Col1a1;Unkn;Leiden Tlr 3 -/- 50nM CUCPT4a;27,36;
;H06;FAM;Tlr3 Ex 3-4;Unkn;Leiden Tlr 3 -/- 50nM CUCPT4a;;
;H07;FAM;Ddx58/Rig-I;Unkn;Leiden Tlr 3 -/- 50nM CUCPT4a;29,02;
;H08;FAM;Ifih-1/Mda5;Unkn;Leiden Tlr 3 -/- 50nM CUCPT4a;29,32;
;H09;FAM;Bmp4;Unkn;Leiden Tlr 3 -/- 50nM CUCPT4a;29,18;
;H10;FAM;Il1-�;Unkn;Leiden Tlr 3 -/- 50nM CUCPT4a;;
;H11;FAM;Tlr 3 Ex 4-5;Unkn;Leiden Tlr 3 -/- 50nM CUCPT4a;;
;H12;FAM;Ifih-1/Mda5;NTC;NT;;
